65 2023/04/14 16:57:06,107 46048 [INFO  ] [TestNG-test=KTtasksTest-1] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:481) - Trying to click on element: [[ChromeDriver: chrome on MAC (bc2d55344b5f29ab09afd21e91297b38)] -> xpath: //a[@title="Home Users"]/parent::li/ul/li/a[text()='Express Painting']]
66 2023/04/14 16:57:15,408 55349 [INFO  ] [TestNG-test=KTtasksTest-1] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:484) - element clicked : [[ChromeDriver: chrome on MAC (bc2d55344b5f29ab09afd21e91297b38)] -> xpath: //a[@title="Home Users"]/parent::li/ul/li/a[text()='Express Painting']]
67 2023/04/14 16:57:18,704 58645 [INFO  ] [TestNG-test=KTtasksTest-1] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:481) - Trying to click on element: [[ChromeDriver: chrome on MAC (bc2d55344b5f29ab09afd21e91297b38)] -> xpath: (//div[@class="video-block"]/a/i[@class="fa fa-play"])[1]]
68 2023/04/14 16:57:23,609 63550 [INFO  ] [TestNG-test=KTtasksTest-1] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:484) - element clicked : [[ChromeDriver: chrome on MAC (bc2d55344b5f29ab09afd21e91297b38)] -> xpath: (//div[@class="video-block"]/a/i[@class="fa fa-play"])[1]]
69 2023/04/14 16:57:25,613 65554 [INFO  ] [TestNG-test=KTtasksTest-1] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:481) - Trying to click on element: [[ChromeDriver: chrome on MAC (bc2d55344b5f29ab09afd21e91297b38)] -> xpath: //button[@class='ytp-play-button ytp-button']]
70 2023/04/14 16:57:44,530 84471 [INFO  ] [TestNG-test=KTtasksTest-1] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:484) - element clicked : [[ChromeDriver: chrome on MAC (bc2d55344b5f29ab09afd21e91297b38)] -> xpath: //button[@class='ytp-play-button ytp-button']]
71 2023/04/14 16:57:45,178 85119 [INFO  ] [TestNG-test=KTtasksTest-1] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:481) - Trying to click on element: [[ChromeDriver: chrome on MAC (bc2d55344b5f29ab09afd21e91297b38)] -> xpath: //button[@class='ytp-play-button ytp-button']]
72 2023/04/14 16:57:49,293 89234 [INFO  ] [TestNG-test=KTtasksTest-1] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:484) - element clicked : [[ChromeDriver: chrome on MAC (bc2d55344b5f29ab09afd21e91297b38)] -> xpath: //button[@class='ytp-play-button ytp-button']]
73 2023/04/14 16:57:54,312 94253 [INFO  ] [TestNG-test=KTtasksTest-1] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:481) - Trying to click on element: [[ChromeDriver: chrome on MAC (bc2d55344b5f29ab09afd21e91297b38)] -> xpath: //button[@class='ytp-play-button ytp-button']]
74 2023/04/14 16:57:58,442 98383 [INFO  ] [TestNG-test=KTtasksTest-1] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:484) - element clicked : [[ChromeDriver: chrome on MAC (bc2d55344b5f29ab09afd21e91297b38)] -> xpath: //button[@class='ytp-play-button ytp-button']]
