39 2023/04/06 19:13:41,672 2352 [DEBUG ] [TestNG-test=HBSOTest-4] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:173) - -Dio.netty.allocator.cacheTrimInterval: 8192
40 2023/04/06 19:13:41,672 2352 [DEBUG ] [TestNG-test=HBSOTest-4] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:174) - -Dio.netty.allocator.cacheTrimIntervalMillis: 0
41 2023/04/06 19:13:41,672 2352 [DEBUG ] [TestNG-test=HBSOTest-4] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:175) - -Dio.netty.allocator.useCacheForAllThreads: false
42 2023/04/06 19:13:41,672 2352 [DEBUG ] [TestNG-test=HBSOTest-4] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:176) - -Dio.netty.allocator.maxCachedByteBuffersPerChunk: 1023
43 2023/04/06 19:13:41,681 2361 [DEBUG ] [TestNG-test=HBSOTest-4] netty.buffer.ByteBufUtil netty.buffer.ByteBufUtil.<clinit>(ByteBufUtil.java:87) - -Dio.netty.allocator.type: pooled
44 2023/04/06 19:13:41,682 2362 [DEBUG ] [TestNG-test=HBSOTest-4] netty.buffer.ByteBufUtil netty.buffer.ByteBufUtil.<clinit>(ByteBufUtil.java:96) - -Dio.netty.threadLocalDirectBufferSize: 0
45 2023/04/06 19:13:41,682 2362 [DEBUG ] [TestNG-test=HBSOTest-4] netty.buffer.ByteBufUtil netty.buffer.ByteBufUtil.<clinit>(ByteBufUtil.java:99) - -Dio.netty.maxThreadLocalCharBufferSize: 16384
46 2023/04/06 19:13:41,958 2638 [DEBUG ] [Forwarding newSession on session null to remote] netty.channel.DefaultChannelId netty.channel.DefaultChannelId.<clinit>(DefaultChannelId.java:79) - -Dio.netty.processId: 51415 (auto-detected)
47 2023/04/06 19:13:41,961 2641 [DEBUG ] [Forwarding newSession on session null to remote] netty.util.NetUtil netty.util.NetUtil.<clinit>(NetUtil.java:142) - -Djava.net.preferIPv4Stack: true
48 2023/04/06 19:13:41,961 2641 [DEBUG ] [Forwarding newSession on session null to remote] netty.util.NetUtil netty.util.NetUtil.<clinit>(NetUtil.java:143) - -Djava.net.preferIPv6Addresses: false
49 2023/04/06 19:13:41,962 2642 [DEBUG ] [Forwarding newSession on session null to remote] netty.util.NetUtilInitializations netty.util.NetUtilInitializations.determineLoopback(NetUtilInitializations.java:139) - Loopback interface: lo0 (lo0, 0:0:0:0:0:0:0:1%lo0)
50 2023/04/06 19:13:41,963 2643 [DEBUG ] [Forwarding newSession on session null to remote] netty.util.NetUtil netty.util.NetUtil$SoMaxConnAction.run(NetUtil.java:200) - Failed to get SOMAXCONN from sysctl and file /proc/sys/net/core/somaxconn. Default: 128
51 2023/04/06 19:13:41,965 2645 [DEBUG ] [Forwarding newSession on session null to remote] netty.channel.DefaultChannelId netty.channel.DefaultChannelId.<clinit>(DefaultChannelId.java:101) - -Dio.netty.machineId: bc:d0:74:ff:fe:f0:77:f0 (auto-detected)
52 2023/04/06 19:13:42,016 2696 [DEBUG ] [AsyncHttpClient-1-2] netty.buffer.AbstractByteBuf netty.buffer.AbstractByteBuf.<clinit>(AbstractByteBuf.java:63) - -Dio.netty.buffer.checkAccessible: true
53 2023/04/06 19:13:42,017 2697 [DEBUG ] [AsyncHttpClient-1-2] netty.buffer.AbstractByteBuf netty.buffer.AbstractByteBuf.<clinit>(AbstractByteBuf.java:64) - -Dio.netty.buffer.checkBounds: true
54 2023/04/06 19:13:42,017 2697 [DEBUG ] [AsyncHttpClient-1-2] netty.util.ResourceLeakDetectorFactory netty.util.ResourceLeakDetectorFactory$DefaultResourceLeakDetectorFactory.newResourceLeakDetector(ResourceLeakDetectorFactory.java:196) - Loaded default ResourceLeakDetector: io.netty.util.ResourceLeakDetector@4f3d8c2e
55 2023/04/06 19:13:42,080 2760 [DEBUG ] [AsyncHttpClient-1-2] netty.util.Recycler netty.util.Recycler.<clinit>(Recycler.java:85) - -Dio.netty.recycler.maxCapacityPerThread: 4096
56 2023/04/06 19:13:42,081 2761 [DEBUG ] [AsyncHttpClient-1-2] netty.util.Recycler netty.util.Recycler.<clinit>(Recycler.java:86) - -Dio.netty.recycler.ratio: 8
57 2023/04/06 19:13:42,081 2761 [DEBUG ] [AsyncHttpClient-1-2] netty.util.Recycler netty.util.Recycler.<clinit>(Recycler.java:87) - -Dio.netty.recycler.chunkSize: 32
58 2023/04/06 19:13:42,081 2761 [DEBUG ] [AsyncHttpClient-1-2] netty.util.Recycler netty.util.Recycler.<clinit>(Recycler.java:88) - -Dio.netty.recycler.blocking: false
59 2023/04/06 19:13:48,509 9189 [DEBUG ] [AsyncHttpClient-1-2] codec.compression.Brotli codec.compression.Brotli.<clinit>(Brotli.java:38) - brotli4j not in the classpath; Brotli support will be unavailable.
60 2023/04/06 19:17:48,758 249438 [INFO  ] [TestNG-test=HBSOTest-1] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:323) - Trying to click on element: [[RemoteWebDriver: chrome on LINUX (d7291cdc2d91d61a78fef3555d640db8)] -> xpath: //div[@class="course-card-header"]//a[text()='Business Essentials']]
61 2023/04/06 19:18:05,234 265914 [INFO  ] [TestNG-test=HBSOTest-1] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:326) - element clicked : [[RemoteWebDriver: chrome on LINUX (d7291cdc2d91d61a78fef3555d640db8)] -> xpath: //div[@class="course-card-header"]//a[text()='Business Essentials']]
62 2023/04/06 19:18:38,420 299100 [INFO  ] [TestNG-test=HBSOTest-1] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:323) - Trying to click on element: [[RemoteWebDriver: chrome on LINUX (d7291cdc2d91d61a78fef3555d640db8)] -> xpath: //a[text()='What you earn']]
63 2023/04/06 19:18:47,103 307783 [INFO  ] [TestNG-test=HBSOTest-1] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:326) - element clicked : [[RemoteWebDriver: chrome on LINUX (d7291cdc2d91d61a78fef3555d640db8)] -> xpath: //a[text()='What you earn']]
64 2023/04/06 19:18:49,726 310406 [INFO  ] [TestNG-test=HBSOTest-1] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:323) - Trying to click on element: [[RemoteWebDriver: chrome on LINUX (d7291cdc2d91d61a78fef3555d640db8)] -> xpath: //a[text()='Syllabus']]
65 2023/04/06 19:18:54,963 315643 [INFO  ] [TestNG-test=HBSOTest-1] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:326) - element clicked : [[RemoteWebDriver: chrome on LINUX (d7291cdc2d91d61a78fef3555d640db8)] -> xpath: //a[text()='Syllabus']]
66 2023/04/06 19:18:56,538 317218 [INFO  ] [TestNG-test=HBSOTest-1] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:323) - Trying to click on element: [[RemoteWebDriver: chrome on LINUX (d7291cdc2d91d61a78fef3555d640db8)] -> xpath: (//div[@class='card']/dl/dt/a)[1]]
67 2023/04/06 19:19:01,642 322322 [INFO  ] [TestNG-test=HBSOTest-1] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:326) - element clicked : [[RemoteWebDriver: chrome on LINUX (d7291cdc2d91d61a78fef3555d640db8)] -> xpath: (//div[@class='card']/dl/dt/a)[1]]
68 2023/04/06 19:19:05,649 326329 [INFO  ] [TestNG-test=HBSOTest-1] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:323) - Trying to click on element: [[RemoteWebDriver: chrome on LINUX (d7291cdc2d91d61a78fef3555d640db8)] -> xpath: //a[text()='Enrollment']]
69 2023/04/06 19:19:10,762 331442 [INFO  ] [TestNG-test=HBSOTest-1] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:326) - element clicked : [[RemoteWebDriver: chrome on LINUX (d7291cdc2d91d61a78fef3555d640db8)] -> xpath: //a[text()='Enrollment']]
70 2023/04/06 19:19:13,814 334494 [INFO  ] [TestNG-test=HBSOTest-1] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:323) - Trying to click on element: [[RemoteWebDriver: chrome on LINUX (d7291cdc2d91d61a78fef3555d640db8)] -> xpath: (//a[text()='FAQs'])[1]]
71 2023/04/06 19:19:19,732 340412 [INFO  ] [TestNG-test=HBSOTest-1] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:326) - element clicked : [[RemoteWebDriver: chrome on LINUX (d7291cdc2d91d61a78fef3555d640db8)] -> xpath: (//a[text()='FAQs'])[1]]
72 2023/04/06 19:19:21,227 341907 [INFO  ] [TestNG-test=HBSOTest-1] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:323) - Trying to click on element: [[RemoteWebDriver: chrome on LINUX (d7291cdc2d91d61a78fef3555d640db8)] -> xpath: (//h2[text()='Business Analytics FAQs']/parent::div/div/div/a[@role="button"])[1]]
73 2023/04/06 19:19:27,260 347940 [INFO  ] [TestNG-test=HBSOTest-1] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:326) - element clicked : [[RemoteWebDriver: chrome on LINUX (d7291cdc2d91d61a78fef3555d640db8)] -> xpath: (//h2[text()='Business Analytics FAQs']/parent::div/div/div/a[@role="button"])[1]]
