36 2022/08/09 15:56:46,938 6003 [DEBUG ] [TestNG-test=FirefoxTest-5] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:168) - -Dio.netty.allocator.smallCacheSize: 256
37 2022/08/09 15:56:46,939 6004 [DEBUG ] [TestNG-test=FirefoxTest-5] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:169) - -Dio.netty.allocator.normalCacheSize: 64
38 2022/08/09 15:56:46,939 6004 [DEBUG ] [TestNG-test=FirefoxTest-5] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:170) - -Dio.netty.allocator.maxCachedBufferCapacity: 32768
39 2022/08/09 15:56:46,940 6005 [DEBUG ] [TestNG-test=FirefoxTest-5] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:171) - -Dio.netty.allocator.cacheTrimInterval: 8192
40 2022/08/09 15:56:46,940 6005 [DEBUG ] [TestNG-test=FirefoxTest-5] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:172) - -Dio.netty.allocator.cacheTrimIntervalMillis: 0
41 2022/08/09 15:56:46,940 6005 [DEBUG ] [TestNG-test=FirefoxTest-5] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:173) - -Dio.netty.allocator.useCacheForAllThreads: false
42 2022/08/09 15:56:46,941 6006 [DEBUG ] [TestNG-test=FirefoxTest-5] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:174) - -Dio.netty.allocator.maxCachedByteBuffersPerChunk: 1023
43 2022/08/09 15:56:46,957 6022 [DEBUG ] [TestNG-test=FirefoxTest-5] netty.buffer.ByteBufUtil netty.buffer.ByteBufUtil.<clinit>(ByteBufUtil.java:87) - -Dio.netty.allocator.type: pooled
44 2022/08/09 15:56:46,958 6023 [DEBUG ] [TestNG-test=FirefoxTest-5] netty.buffer.ByteBufUtil netty.buffer.ByteBufUtil.<clinit>(ByteBufUtil.java:96) - -Dio.netty.threadLocalDirectBufferSize: 0
45 2022/08/09 15:56:46,958 6023 [DEBUG ] [TestNG-test=FirefoxTest-5] netty.buffer.ByteBufUtil netty.buffer.ByteBufUtil.<clinit>(ByteBufUtil.java:99) - -Dio.netty.maxThreadLocalCharBufferSize: 16384
46 2022/08/09 15:56:47,530 6595 [DEBUG ] [Forwarding newSession on session null to remote] netty.channel.DefaultChannelId netty.channel.DefaultChannelId.<clinit>(DefaultChannelId.java:79) - -Dio.netty.processId: 11312 (auto-detected)
47 2022/08/09 15:56:47,534 6599 [DEBUG ] [Forwarding newSession on session null to remote] netty.util.NetUtil netty.util.NetUtil.<clinit>(NetUtil.java:136) - -Djava.net.preferIPv4Stack: true
48 2022/08/09 15:56:47,535 6600 [DEBUG ] [Forwarding newSession on session null to remote] netty.util.NetUtil netty.util.NetUtil.<clinit>(NetUtil.java:137) - -Djava.net.preferIPv6Addresses: false
49 2022/08/09 15:56:47,595 6660 [DEBUG ] [Forwarding newSession on session null to remote] netty.util.NetUtilInitializations netty.util.NetUtilInitializations.determineLoopback(NetUtilInitializations.java:129) - Loopback interface: lo (Software Loopback Interface 1, 127.0.0.1)
50 2022/08/09 15:56:47,597 6662 [DEBUG ] [Forwarding newSession on session null to remote] netty.util.NetUtil netty.util.NetUtil$SoMaxConnAction.run(NetUtil.java:191) - Failed to get SOMAXCONN from sysctl and file \proc\sys\net\core\somaxconn. Default: 200
51 2022/08/09 15:56:47,747 6812 [DEBUG ] [Forwarding newSession on session null to remote] netty.channel.DefaultChannelId netty.channel.DefaultChannelId.<clinit>(DefaultChannelId.java:101) - -Dio.netty.machineId: d4:1b:81:ff:fe:59:ab:63 (auto-detected)
52 2022/08/09 15:56:47,815 6880 [DEBUG ] [AsyncHttpClient-1-3] netty.buffer.AbstractByteBuf netty.buffer.AbstractByteBuf.<clinit>(AbstractByteBuf.java:63) - -Dio.netty.buffer.checkAccessible: true
53 2022/08/09 15:56:47,816 6881 [DEBUG ] [AsyncHttpClient-1-3] netty.buffer.AbstractByteBuf netty.buffer.AbstractByteBuf.<clinit>(AbstractByteBuf.java:64) - -Dio.netty.buffer.checkBounds: true
54 2022/08/09 15:56:47,816 6881 [DEBUG ] [AsyncHttpClient-1-3] netty.util.ResourceLeakDetectorFactory netty.util.ResourceLeakDetectorFactory$DefaultResourceLeakDetectorFactory.newResourceLeakDetector(ResourceLeakDetectorFactory.java:196) - Loaded default ResourceLeakDetector: io.netty.util.ResourceLeakDetector@36eb244d
55 2022/08/09 15:56:47,849 6914 [DEBUG ] [AsyncHttpClient-1-3] netty.util.Recycler netty.util.Recycler.<clinit>(Recycler.java:85) - -Dio.netty.recycler.maxCapacityPerThread: 4096
56 2022/08/09 15:56:47,850 6915 [DEBUG ] [AsyncHttpClient-1-3] netty.util.Recycler netty.util.Recycler.<clinit>(Recycler.java:86) - -Dio.netty.recycler.ratio: 8
57 2022/08/09 15:56:47,850 6915 [DEBUG ] [AsyncHttpClient-1-3] netty.util.Recycler netty.util.Recycler.<clinit>(Recycler.java:87) - -Dio.netty.recycler.chunkSize: 32
58 2022/08/09 15:56:47,851 6916 [DEBUG ] [AsyncHttpClient-1-3] netty.util.Recycler netty.util.Recycler.<clinit>(Recycler.java:88) - -Dio.netty.recycler.blocking: false
59 2022/08/09 15:57:20,808 39873 [DEBUG ] [AsyncHttpClient-1-3] codec.compression.Brotli codec.compression.Brotli.<clinit>(Brotli.java:38) - brotli4j not in the classpath; Brotli support will be unavailable.
60 2022/08/09 16:02:03,300 322365 [INFO  ] [TestNG-test=FirefoxTest-2] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:318) - Trying to click on element: [[RemoteWebDriver: chrome on LINUX (bcc2de5afb89656a46ee49a7b19109e9)] -> xpath: //button[@title='Search']]
61 2022/08/09 16:02:10,902 329967 [INFO  ] [TestNG-test=FirefoxTest-2] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.click(BaseMethod.java:321) - element clicked : [[RemoteWebDriver: chrome on LINUX (bcc2de5afb89656a46ee49a7b19109e9)] -> xpath: //button[@title='Search']]
62 2022/08/09 16:02:14,710 333775 [INFO  ] [TestNG-test=FirefoxTest-3] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.selectByVisibleText(BaseMethod.java:296) - Trying to select element Value from Dropdown
63 2022/08/09 16:02:16,594 335659 [INFO  ] [TestNG-test=FirefoxTest-3] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.selectByVisibleText(BaseMethod.java:300) - German Value selected from Dropdown: 
64 2022/08/09 16:02:19,990 339055 [INFO  ] [TestNG-test=FirefoxTest-5] qa.wrappers.BaseMethod qa.wrappers.BaseMethod.mouseHover(BaseMethod.java:627) - Trying to mouse hover on element [[RemoteWebDriver: chrome on LINUX (bcc2de5afb89656a46ee49a7b19109e9)] -> xpath: //a[text()='Home & Decor']] using Actions class
